"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","92.3","3.0","0.3"
"Arsenal","Arsenal","82.8","2.6","0.7"
"Man. United","Manchester Utd","78.0","2.3","0.7"
"Newcastle","Newcastle Utd","82.3","2.3","0.5"
"Brighton","Brighton","82.5","2.4","0.6"
"Liverpool","Liverpool","83.5","2.6","0.7"
"Tottenham","Tottenham","71.6","2.2","0.9"
"Aston Villa","Aston Villa","76.3","2.0","0.6"
"Fulham","Fulham","66.2","1.8","0.9"
"Brentford","Brentford","73.7","2.1","0.8"
"Chelsea","Chelsea","78.4","2.0","0.5"
"Crystal Palace","Crystal Palace","72.8","1.7","0.6"
"West Ham","West Ham","73.3","2.0","0.7"
"Wolves","Wolves","64.5","1.6","0.8"
"Bournemouth","Bournemouth","58.2","1.7","1.2"
"Leicester","Leicester City","68.0","1.9","0.9"
"Leeds United","Leeds United","61.8","1.9","1.1"
"Everton","Everton","60.1","1.7","1.0"
"Nottm Forest","Nott'ham Forest","54.1","1.5","1.2"
"Southampton","Southampton","61.6","1.6","1.0"
